customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,FM_score,Segment
10001,43,4,4202.35,4,3,4,4,Champions
10002,24,2,1633.95,5,1,2,2,Recent Users
10003,1,2,4820.91,5,1,4,2,Recent Users
10004,48,5,6814.74,4,3,5,4,Champions
10005,194,3,4462.83,2,2,4,3,Hibernating
10006,47,8,6841.360000000001,4,5,5,5,Champions
10007,79,3,3904.37,3,2,3,2,Promising
10008,158,3,2099.42,3,2,2,2,Promising
10009,135,2,411.95000000000005,3,1,1,1,Promising
10010,41,5,6589.74,4,3,5,4,Champions
10011,33,9,8349.28,4,5,5,5,Champions
10012,1,4,6095.83,5,3,4,4,Champions
10014,235,2,3155.91,2,1,3,2,About To Sleep
10015,214,2,3781.9700000000003,2,1,3,2,About To Sleep
10016,150,4,2314.33,3,3,3,3,Needs Attention
10017,32,2,3919.4,4,1,3,2,Recent Users
10018,75,4,3265.32,4,3,3,3,Potential Loyalist
10019,36,2,1990.95,4,1,2,2,Recent Users
10020,54,5,7528.33,4,3,5,4,Champions
10021,53,5,4208.88,4,3,4,4,Champions
10022,2,4,3029.94,5,3,3,3,Potential Loyalist
10023,197,2,1009.94,2,1,2,2,About To Sleep
10024,19,6,4054.7700000000004,5,4,4,4,Champions
10025,334,3,4124.4,2,2,4,3,Hibernating
10026,240,3,4072.42,2,2,4,3,Hibernating
10027,83,4,3338.9,3,3,3,3,Needs Attention
10028,15,5,8738.85,5,3,5,4,Champions
10029,352,1,344.97,2,1,1,1,About To Sleep
10030,18,5,3804.88,5,3,3,3,Potential Loyalist
10031,55,3,3527.88,4,2,3,2,Recent Users
10032,188,1,706.4300000000001,2,1,2,2,About To Sleep
10033,175,5,5204.1900000000005,3,3,4,4,Loyal Customers
10034,198,2,1809.49,2,1,2,2,About To Sleep
10035,54,7,10197.44,4,4,5,4,Champions
10036,73,5,5467.25,4,3,4,4,Champions
10037,29,2,707.99,5,1,2,2,Recent Users
10038,86,4,4708.87,3,3,4,4,Loyal Customers
10039,336,1,2029.98,2,1,2,2,About To Sleep
10040,103,4,1917.8300000000002,3,3,2,2,Promising
10041,131,1,427.96000000000004,3,1,1,1,Promising
10042,180,5,3736.91,3,3,3,3,Needs Attention
10043,38,6,6081.79,4,4,4,4,Champions
10044,32,3,2773.38,4,2,3,2,Recent Users
10045,16,3,4188.35,5,2,4,3,Potential Loyalist
10046,50,5,4146.780000000001,4,3,4,4,Champions
10047,24,6,4298.35,5,4,4,4,Champions
10048,19,6,7103.700000000001,5,4,5,4,Champions
10049,146,1,435.96000000000004,3,1,1,1,Promising
10051,58,7,10417.31,4,4,5,4,Champions
10052,39,2,1087.89,4,1,2,2,Recent Users
10053,73,5,4584.93,4,3,4,4,Champions
10054,73,2,2440.3900000000003,4,1,3,2,Recent Users
10055,86,5,6674.85,3,3,5,4,Loyal Customers
10056,47,3,4043.91,4,2,4,3,Potential Loyalist
10057,24,5,5975.13,5,3,4,4,Champions
10058,70,6,7297.22,4,4,5,4,Champions
10059,74,2,1591.95,4,1,2,2,Recent Users
10060,312,1,763.4300000000001,2,1,2,2,About To Sleep
10061,8,6,6894.75,5,4,5,4,Champions
10062,6,4,5489.39,5,3,4,4,Champions
10063,90,5,3507.83,3,3,3,3,Needs Attention
10064,55,3,1860.38,4,2,2,2,Recent Users
10065,14,9,9023.74,5,5,5,5,Champions
10066,21,5,2454.39,5,3,3,3,Potential Loyalist
10067,225,2,978.3900000000001,2,1,2,2,About To Sleep
10068,63,5,4995.84,4,3,4,4,Champions
10069,32,5,4625.4,4,3,4,4,Champions
10070,151,3,4652.34,3,2,4,3,Needs Attention
10071,72,2,3961.84,4,1,3,2,Recent Users
10072,60,3,4293.32,4,2,4,3,Potential Loyalist
10073,84,7,9668.65,3,4,5,4,Loyal Customers
10074,42,8,5977.68,4,5,4,4,Champions
10075,193,6,2269.82,2,4,3,4,Can't Lose Them
10076,16,3,4126.44,5,2,4,3,Potential Loyalist
10077,49,6,3002.82,4,4,3,4,Champions
10078,83,6,2967.75,3,4,3,4,Loyal Customers
10079,157,3,3873.88,3,2,3,2,Promising
10080,90,1,943.5,3,1,2,2,Promising
10081,43,6,5381.29,4,4,4,4,Champions
10082,103,3,4478.91,3,2,4,3,Needs Attention
10083,106,6,8418.64,3,4,5,4,Loyal Customers
10084,7,4,2177.83,5,3,3,3,Potential Loyalist
10085,109,4,2181.92,3,3,3,3,Needs Attention
10086,137,5,4132.83,3,3,4,4,Loyal Customers
10087,28,6,9820.26,5,4,5,4,Champions
10088,139,5,5160.38,3,3,4,4,Loyal Customers
10089,187,2,1943.8700000000001,3,1,2,2,Promising
10090,122,7,6241.7,3,4,4,4,Loyal Customers
10091,68,4,5631.38,4,3,4,4,Champions
